NOMBRE,CARGO
Corvetto Salinas Piero Alessandro,Jefe
Bernardo Juan Pachas Serrano,Gerente General
Elar Juan Bolaños Llanos,Secretario General
Elar Juan Bolaños Llanos,Gerente de la Oficina de Seguridad y Defensa Nacional (e)
Margarita María Díaz Picasso,Gerenta de la Gerencia de Supervisión de Fondos Partidarios
María Elena Tillit Roig,Gerenta de Organización Electoral y Coordinación Regional
Gustavo Armando García Hidalgo,Gerente de Gestión Electoral
Jorge Delfín Morales Tello,Procurador Público
Violeta Margarita Wilson Valdivia,Gerenta de Administracion
Portocarrero Grados Benito Maria,Gerente de Comunicaciones y Relaciones Corporativas
Roberto Carlos Montenegro Vega,Gerente de Informática y Tecnología Electoral
Rojas Aliaga Héctor Martín,Gerente de la Gerencia Corporativa de Potencial Humano
María Rocío Salas Palacios,Gerenta de Planeamiento y Presupuesto
Luis Emilio Márquez Antón,Gerente del Organo de Control Institucional
Iris Patricia Alfaro Bazan,Gerenta de Asesoría Jurídica
María Elena Tillit Roig,Gerenta de Información y Educación Electoral (e)
María Rocío Salas Palacios,Gerenta de Gestión de la Calidad (e)
Yuvitza Milagros Aguilar Ticona,Subgerenta de Logística
